116.4   18.72
118.0	20.26
121.6	23.04
125.4	23.39
135.4	26.46
140.3	26.99
144.1	26.85
148.7	26.33
154.5	23.32
160.8	28.00
164.8	29.64
170.0	31.51
175.0	33.31
182.3	34.70
187.9	33.85
193.7	32.18
200.0	31.52
210.0	30.18
220.0	28.87
230.0	28.42
240.0	28.54
250.0	28.90
260.0	28.54
270.0	28.39
280.0	28.80
290.0	29.23
300.0	29.75
310.0	30.10
320.0	30.22
330.0	30.13
340.0	29.96
350.0	29.74
360.0	29.32
370.0	28.81
380.0	28.65
390.0	28.27
400.0	27.70
410.0	27.04
420.0	26.33
430.0	25.52
440.0	24.64
450.0	23.60
460.0	22.41
470.0	21.15
480.0	20.01
490.0	18.99
500.0	18.05
510.0	17.07
520.0	15.95
530.0	14.63
540.0	13.18
550.0	11.71
560.0	10.28
570.0	8.92
580.0	7.96
590.0	6.64
600.0	5.75
610.0	5.01
620.0	4.36
630.0	3.76
640.0	3.20
650.0	2.68
660.0	2.20
670.0	1.77
680.0	1.38
690.0	1.06
700.0	0.79
710.0	0.57
720.0	0.40
730.0	0.27
740.0	0.18
750.0	0.12
760.0	0.07
770.0	0.05
780.0	0.03
790.0	0.02
